uuid,title,slide_url,paper_url
13289144-257c-48b7-9978-932daa3164a8,Better Safe Than Sorry: Preventing Delusive Adversaries with Adversarial Training,nips.cc/media/neurips-2021/Slides/27598_n5Lv3r6.pdf,openreview.net/pdf?id=I39u89067j
6ee20340-06c3-4350-aa47-1d7b25155d37,Conservative Data Sharing for Multi-Task Offline Reinforcement Learning,nips.cc/media/neurips-2021/Slides/26523.pdf,openreview.net/pdf?id=YxxzNLfXBz
58631056-788a-46c4-adcc-4bbd89595bda,AC-GC: Lossy Activation Compression with Guaranteed Convergence,nips.cc/media/neurips-2021/Slides/26922.pdf,openreview.net/pdf?id=MwFdqFRxIF0
14b1d5d3-ee57-4a2d-8866-b710256e1746,Amortized Variational Inference for Simple Hierarchical Models,nips.cc/media/neurips-2021/Slides/27789.pdf,openreview.net/pdf?id=Rw_fo_Z2vV
77313914-4c65-40a4-9c98-5427ee2ab2eb,Co-Adaptation of Algorithmic and Implementational Innovations in Inference-based Deep Reinforcement Learning,nips.cc/media/neurips-2021/Slides/28472.pdf,openreview.net/pdf?id=vLyI__SoeAe
4cf58d4d-c1a9-4cc2-9cb5-878869a9e91e,Pareto-Optimal Learning-Augmented Algorithms for Online Conversion Problems,nips.cc/media/neurips-2021/Slides/27958.pdf,openreview.net/pdf?id=ycmcCSoNBx8
f2237a78-4ab2-427a-9eaf-dfe1e0072604,The Emergence of Objectness: Learning Zero-shot Segmentation from Videos,nips.cc/media/neurips-2021/Slides/27567_aOltIJM.pdf,openreview.net/pdf?id=grfI7Rnv5P
222b9dc7-a78d-494c-8ceb-47eb47d03af9,Symbolic Regression via Deep Reinforcement Learning Enhanced Genetic Programming Seeding,nips.cc/media/neurips-2021/Slides/28513.pdf,openreview.net/pdf?id=tjwQaOI9tdy
8f4d56c4-8bb8-4103-89eb-838a18cb9a5f,Provably Efficient Reinforcement Learning with Linear Function Approximation under Adaptivity Constraints,nips.cc/media/neurips-2021/Slides/28052.pdf,openreview.net/pdf?id=vYZmTEDFoqP
baa55d7a-254e-4686-97f8-33fdeb4c5796,Fine-grained Generalization Analysis of Inductive Matrix Completion,nips.cc/media/neurips-2021/Slides/27322.pdf,openreview.net/pdf?id=lDzLzhUIwBq
8717be6a-955e-43c9-a702-0ef0a6b41a32,Choose a Transformer: Fourier or Galerkin,nips.cc/media/neurips-2021/Slides/27535.pdf,openreview.net/pdf?id=ssohLcmn4-r
c9e33a11-a932-4bf6-b7d5-3c74db15206a,Flow Network based Generative Models for Non-Iterative Diverse Candidate Generation,nips.cc/media/neurips-2021/Slides/26729.pdf,openreview.net/pdf?id=Arn2E4IRjEB
